bedrooms,bathrooms,toilets,parking_space,title,town,state,price,title_Detached Duplex,title_Terraced Duplexes,title_Semi Detached Duplex,title_Detached Bungalow,title_Block of Flats,title_Semi Detached Bungalow,title_Terraced Bungalow,log_price
2.0,2.0,3.0,2.0,Semi Detached Duplex,65,0,26000000.0,0,0,1,0,0,0,0,17.073607095985757
5.0,5.0,6.0,4.0,Detached Duplex,15,0,350000000.0,1,0,0,0,0,0,0,19.67344371244773
5.0,5.0,6.0,6.0,Detached Duplex,15,0,124000000.0,1,0,0,0,0,0,0,18.63579212356931
5.0,5.0,6.0,6.0,Detached Duplex,15,0,200000000.0,1,0,0,0,0,0,0,19.11382792451231
5.0,5.0,6.0,4.0,Detached Duplex,15,0,140000000.0,1,0,0,0,0,0,0,18.75715298057358
4.0,4.0,4.0,4.0,Terraced Duplexes,0,0,250000000.0,0,1,0,0,0,0,0,19.33697147582652
4.0,5.0,5.0,4.0,Detached Duplex,102,0,55000000.0,1,0,0,0,0,0,0,17.822843743196746
5.0,7.0,8.0,5.0,Detached Duplex,15,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
5.0,6.0,7.0,6.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
7.0,7.0,7.0,4.0,Detached Duplex,0,0,1200000000.0,1,0,0,0,0,0,0,20.905587393740365
5.0,8.0,8.0,1.0,Detached Duplex,90,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
6.0,8.0,8.0,9.0,Detached Duplex,27,1,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,4.0,5.0,8.0,Detached Bungalow,25,2,45000000.0,0,0,0,1,0,0,0,17.622173047734595
5.0,5.0,6.0,5.0,Detached Duplex,15,0,265000000.0,1,0,0,0,0,0,0,19.395240383950497
2.0,2.0,3.0,2.0,Block of Flats,15,0,50000000.0,0,0,0,0,1,0,0,17.72753356339242
3.0,3.0,4.0,3.0,Terraced Duplexes,15,0,38000000.0,0,1,0,0,0,0,0,17.45309671769066
6.0,6.0,8.0,8.0,Detached Duplex,71,0,155000000.0,1,0,0,0,0,0,0,18.858935674883522
4.0,5.0,5.0,4.0,Detached Bungalow,15,0,55000000.0,0,0,0,1,0,0,0,17.822843743196746
5.0,5.0,5.0,4.0,Detached Duplex,27,1,140000000.0,1,0,0,0,0,0,0,18.75715298057358
5.0,5.0,6.0,4.0,Detached Duplex,43,0,82000000.0,1,0,0,0,0,0,0,18.222229805228526
3.0,5.0,5.0,4.0,Detached Bungalow,157,1,17500000.0,0,0,0,1,0,0,0,16.67771143889374
4.0,5.0,5.0,4.0,Detached Duplex,5,1,50000000.0,1,0,0,0,0,0,0,17.72753356339242
6.0,6.0,7.0,6.0,Detached Duplex,0,0,1300000000.0,1,0,0,0,0,0,0,20.985630101413904
4.0,5.0,5.0,3.0,Block of Flats,25,2,70000000.0,0,0,0,0,1,0,0,18.064005800013632
4.0,4.0,5.0,4.0,Semi Detached Duplex,0,0,230000000.0,0,0,1,0,0,0,0,19.25358986688747
6.0,5.0,5.0,4.0,Detached Duplex,58,8,45000000.0,1,0,0,0,0,0,0,17.622173047734595
3.0,5.0,5.0,4.0,Detached Bungalow,178,21,11500000.0,0,0,0,1,0,0,0,16.25785759333348
7.0,5.0,5.0,4.0,Semi Detached Duplex,16,1,200000000.0,0,0,1,0,0,0,0,19.11382792451231
5.0,5.0,6.0,4.0,Detached Duplex,15,0,265000000.0,1,0,0,0,0,0,0,19.395240383950497
5.0,6.0,7.0,5.0,Detached Duplex,17,1,160000000.0,1,0,0,0,0,0,0,18.890684373198102
5.0,6.0,6.0,8.0,Detached Duplex,20,0,200000000.0,1,0,0,0,0,0,0,19.11382792451231
5.0,6.0,6.0,6.0,Detached Duplex,15,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
5.0,5.0,5.0,4.0,Detached Duplex,15,0,85000000.0,1,0,0,0,0,0,0,18.258161814454592
5.0,5.0,6.0,4.0,Detached Duplex,15,0,200000000.0,1,0,0,0,0,0,0,19.11382792451231
5.0,5.0,6.0,4.0,Detached Duplex,15,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
4.0,4.0,5.0,4.0,Detached Duplex,15,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
4.0,5.0,5.0,4.0,Semi Detached Duplex,15,0,42000000.0,0,0,1,0,0,0,0,17.553180176247643
5.0,5.0,6.0,4.0,Detached Duplex,73,1,70000000.0,1,0,0,0,0,0,0,18.064005800013632
5.0,5.0,6.0,2.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
5.0,6.0,6.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
4.0,4.0,4.0,3.0,Detached Bungalow,125,0,26000000.0,0,0,0,1,0,0,0,17.073607095985757
5.0,5.0,6.0,4.0,Detached Duplex,15,0,155000000.0,1,0,0,0,0,0,0,18.858935674883522
4.0,3.0,4.0,2.0,Block of Flats,8,0,7200000.0,0,0,0,0,1,0,0,15.789591583986283
5.0,6.0,5.0,5.0,Detached Duplex,0,0,850000000.0,1,0,0,0,0,0,0,20.560746907448635
4.0,4.0,5.0,3.0,Detached Duplex,175,1,15000000.0,1,0,0,0,0,0,0,16.523560759066484
5.0,7.0,6.0,8.0,Detached Duplex,27,1,120000000.0,1,0,0,0,0,0,0,18.60300230074632
5.0,5.0,6.0,4.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,4.0,5.0,1.0,Detached Bungalow,67,9,28500000.0,0,0,0,1,0,0,0,17.16541464523888
4.0,5.0,5.0,4.0,Detached Duplex,38,0,65000000.0,1,0,0,0,0,0,0,17.98989782785991
4.0,4.0,5.0,2.0,Terraced Duplexes,38,0,47000000.0,0,1,0,0,0,0,0,17.665658159674333
4.0,5.0,5.0,4.0,Semi Detached Duplex,15,0,80000000.0,0,0,1,0,0,0,0,18.197537192638155
5.0,6.0,6.0,4.0,Detached Duplex,15,0,110000000.0,1,0,0,0,0,0,0,18.51599092375669
3.0,5.0,5.0,4.0,Terraced Duplexes,15,0,40000000.0,0,1,0,0,0,0,0,17.50439001207821
5.0,5.0,6.0,4.0,Detached Duplex,25,2,40000000.0,1,0,0,0,0,0,0,17.50439001207821
5.0,6.0,7.0,5.0,Detached Duplex,15,0,210000000.0,1,0,0,0,0,0,0,19.162618088681743
4.0,4.0,5.0,4.0,Semi Detached Duplex,15,0,200000000.0,0,0,1,0,0,0,0,19.11382792451231
5.0,5.0,6.0,6.0,Detached Duplex,38,0,55000000.0,1,0,0,0,0,0,0,17.822843743196746
5.0,5.0,6.0,4.0,Detached Duplex,8,0,250000000.0,1,0,0,0,0,0,0,19.33697147582652
5.0,7.0,7.0,8.0,Detached Duplex,15,0,370000000.0,1,0,0,0,0,0,0,19.729013563602543
5.0,5.0,6.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
5.0,5.0,5.0,4.0,Detached Duplex,18,0,400000000.0,1,0,0,0,0,0,0,19.806975105072254
2.0,2.0,2.0,4.0,Block of Flats,15,0,16000000.0,0,0,0,0,1,0,0,16.588099280204055
5.0,5.0,6.0,4.0,Detached Duplex,15,0,260000000.0,1,0,0,0,0,0,0,19.3761921889798
3.0,3.0,3.0,2.0,Detached Bungalow,127,21,35000000.0,0,0,0,1,0,0,0,17.37085861945369
5.0,5.0,6.0,4.0,Detached Duplex,15,0,400000000.0,1,0,0,0,0,0,0,19.806975105072254
5.0,5.0,6.0,4.0,Detached Duplex,15,0,190000000.0,1,0,0,0,0,0,0,19.06253463012476
5.0,5.0,6.0,4.0,Detached Duplex,15,0,55000000.0,1,0,0,0,0,0,0,17.822843743196746
5.0,5.0,5.0,3.0,Detached Duplex,15,0,165000000.0,1,0,0,0,0,0,0,18.921456031864853
4.0,5.0,5.0,3.0,Terraced Duplexes,5,1,45000000.0,0,1,0,0,0,0,0,17.622173047734595
4.0,4.0,5.0,3.0,Semi Detached Duplex,15,0,75000000.0,0,0,1,0,0,0,0,18.132998671500584
5.0,5.0,6.0,4.0,Detached Duplex,15,0,190000000.0,1,0,0,0,0,0,0,19.06253463012476
3.0,3.0,3.0,4.0,Block of Flats,34,1,14000000.0,0,0,0,0,1,0,0,16.454567887579532
5.0,6.0,6.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
4.0,5.0,5.0,4.0,Detached Duplex,15,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
5.0,6.0,6.0,5.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
2.0,2.0,3.0,3.0,Detached Bungalow,176,0,10000000.0,0,0,0,1,0,0,0,16.11809565095832
4.0,5.0,5.0,9.0,Semi Detached Duplex,15,0,270000000.0,0,0,1,0,0,0,0,19.41393251696265
4.0,5.0,5.0,9.0,Detached Duplex,69,1,57000000.0,1,0,0,0,0,0,0,17.858561825798823
3.0,3.0,4.0,2.0,Terraced Bungalow,58,8,10500000.0,0,0,0,0,0,0,1,16.166885815127753
2.0,2.0,3.0,2.0,Semi Detached Bungalow,2,0,9500000.0,0,0,0,0,0,1,0,16.06680235657077
5.0,5.0,6.0,3.0,Detached Duplex,15,0,170000000.0,1,0,0,0,0,0,0,18.951308995014536
4.0,4.0,4.0,4.0,Detached Duplex,38,0,65000000.0,1,0,0,0,0,0,0,17.98989782785991
4.0,4.0,5.0,4.0,Detached Duplex,15,0,125000000.0,1,0,0,0,0,0,0,18.643824295266576
5.0,6.0,6.0,4.0,Semi Detached Duplex,5,1,75000000.0,0,0,1,0,0,0,0,18.132998671500584
4.0,4.0,5.0,3.0,Semi Detached Duplex,15,0,76000000.0,0,0,1,0,0,0,0,18.146243898250606
5.0,5.0,6.0,4.0,Detached Duplex,15,0,78000000.0,1,0,0,0,0,0,0,18.172219384653864
4.0,4.0,5.0,4.0,Semi Detached Bungalow,15,0,110000000.0,0,0,0,0,0,1,0,18.51599092375669
4.0,4.0,5.0,2.0,Semi Detached Duplex,15,0,58000000.0,0,0,1,0,0,0,0,17.875953568510692
5.0,5.0,5.0,4.0,Detached Duplex,15,0,450000000.0,1,0,0,0,0,0,0,19.92475814072864
3.0,5.0,5.0,4.0,Detached Bungalow,109,0,35000000.0,0,0,0,1,0,0,0,17.37085861945369
4.0,4.0,5.0,4.0,Terraced Duplexes,8,0,120000000.0,0,1,0,0,0,0,0,18.60300230074632
5.0,5.0,6.0,4.0,Detached Duplex,34,1,95000000.0,1,0,0,0,0,0,0,18.369387449564815
5.0,5.0,6.0,6.0,Detached Duplex,15,0,80000000.0,1,0,0,0,0,0,0,18.197537192638155
6.0,6.0,7.0,4.0,Detached Duplex,8,0,450000000.0,1,0,0,0,0,0,0,19.92475814072864
3.0,2.0,2.0,4.0,Block of Flats,91,13,250000000.0,0,0,0,0,1,0,0,19.33697147582652
5.0,5.0,6.0,4.0,Detached Duplex,0,0,600000000.0,1,0,0,0,0,0,0,20.21244021318042
4.0,4.0,5.0,4.0,Detached Duplex,15,0,85000000.0,1,0,0,0,0,0,0,18.258161814454592
5.0,5.0,6.0,6.0,Detached Duplex,15,0,80000000.0,1,0,0,0,0,0,0,18.197537192638155
5.0,6.0,6.0,3.0,Detached Duplex,15,0,95000000.0,1,0,0,0,0,0,0,18.369387449564815
5.0,5.0,5.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
4.0,4.0,5.0,3.0,Terraced Duplexes,15,0,55000000.0,0,1,0,0,0,0,0,17.822843743196746
5.0,5.0,6.0,5.0,Detached Duplex,91,13,17000000.0,1,0,0,0,0,0,0,16.64872390202049
5.0,5.0,6.0,6.0,Semi Detached Duplex,65,0,49000000.0,0,0,1,0,0,0,0,17.7073308560749
4.0,4.0,5.0,4.0,Detached Duplex,15,0,70000000.0,1,0,0,0,0,0,0,18.064005800013632
4.0,4.0,4.0,4.0,Detached Duplex,91,13,20000000.0,1,0,0,0,0,0,0,16.811242831518264
5.0,5.0,6.0,1.0,Detached Duplex,77,1,40000000.0,1,0,0,0,0,0,0,17.50439001207821
6.0,7.0,7.0,4.0,Detached Duplex,15,0,68000000.0,1,0,0,0,0,0,0,18.03501826314038
5.0,4.0,5.0,2.0,Terraced Duplexes,15,0,65000000.0,0,1,0,0,0,0,0,17.98989782785991
4.0,4.0,5.0,4.0,Terraced Duplexes,15,0,70000000.0,0,1,0,0,0,0,0,18.064005800013632
5.0,5.0,6.0,4.0,Detached Duplex,15,0,185000000.0,1,0,0,0,0,0,0,19.0358663830426
6.0,6.0,7.0,4.0,Detached Duplex,0,0,1200000000.0,1,0,0,0,0,0,0,20.905587393740365
5.0,5.0,5.0,4.0,Detached Duplex,15,0,95000000.0,1,0,0,0,0,0,0,18.369387449564815
5.0,5.0,6.0,4.0,Detached Duplex,15,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
5.0,5.0,6.0,4.0,Detached Duplex,15,0,400000000.0,1,0,0,0,0,0,0,19.806975105072254
5.0,5.0,6.0,4.0,Detached Duplex,15,0,275000000.0,1,0,0,0,0,0,0,19.432281655630845
5.0,5.0,6.0,6.0,Detached Duplex,15,0,140000000.0,1,0,0,0,0,0,0,18.75715298057358
5.0,5.0,6.0,4.0,Detached Duplex,15,0,310000000.0,1,0,0,0,0,0,0,19.552082855443466
4.0,4.0,5.0,4.0,Semi Detached Duplex,15,0,72000000.0,0,0,1,0,0,0,0,18.09217667698033
4.0,5.0,5.0,8.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
5.0,5.0,6.0,3.0,Semi Detached Duplex,15,0,90000000.0,0,0,1,0,0,0,0,18.31532022829454
5.0,5.0,6.0,5.0,Detached Duplex,15,0,160000000.0,1,0,0,0,0,0,0,18.890684373198102
4.0,4.0,5.0,4.0,Terraced Duplexes,8,0,110000000.0,0,1,0,0,0,0,0,18.51599092375669
4.0,5.0,5.0,4.0,Block of Flats,103,0,53000000.0,0,0,0,0,1,0,0,17.785802471516394
4.0,5.0,5.0,5.0,Detached Bungalow,45,1,68000000.0,0,0,0,1,0,0,0,18.03501826314038
3.0,3.0,3.0,1.0,Block of Flats,54,0,30500000.0,0,0,0,0,1,0,0,17.23323724157764
4.0,4.0,5.0,3.0,Terraced Duplexes,4,1,69999999.0,0,1,0,0,0,0,0,18.064005785727918
5.0,5.0,5.0,4.0,Detached Duplex,0,0,750000000.0,1,0,0,0,0,0,0,20.43558376449463
5.0,5.0,6.0,4.0,Detached Duplex,15,0,72000000.0,1,0,0,0,0,0,0,18.09217667698033
5.0,5.0,6.0,4.0,Detached Duplex,40,0,70000000.0,1,0,0,0,0,0,0,18.064005800013632
5.0,6.0,7.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
5.0,5.0,6.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
3.0,3.0,4.0,1.0,Block of Flats,84,21,45000000.0,0,0,0,0,1,0,0,17.622173047734595
4.0,5.0,5.0,4.0,Detached Bungalow,38,0,38000000.0,0,0,0,1,0,0,0,17.45309671769066
5.0,6.0,7.0,8.0,Detached Duplex,51,1,125000000.0,1,0,0,0,0,0,0,18.643824295266576
5.0,5.0,6.0,9.0,Detached Duplex,15,0,220000000.0,1,0,0,0,0,0,0,19.209138104316636
5.0,6.0,6.0,5.0,Detached Duplex,15,0,165000000.0,1,0,0,0,0,0,0,18.921456031864853
5.0,5.0,6.0,4.0,Detached Duplex,15,0,110000000.0,1,0,0,0,0,0,0,18.51599092375669
3.0,3.0,3.0,4.0,Block of Flats,15,0,36500000.0,0,0,0,0,1,0,0,17.41282281855272
5.0,5.0,6.0,6.0,Detached Duplex,15,0,165000000.0,1,0,0,0,0,0,0,18.921456031864853
4.0,4.0,5.0,4.0,Semi Detached Duplex,38,0,53000000.0,0,0,1,0,0,0,0,17.785802471516394
5.0,5.0,6.0,4.0,Detached Duplex,15,0,175000000.0,1,0,0,0,0,0,0,18.980296531887788
4.0,4.0,5.0,4.0,Terraced Duplexes,37,1,45000000.0,0,1,0,0,0,0,0,17.622173047734595
3.0,3.0,4.0,3.0,Terraced Duplexes,38,0,55000000.0,0,1,0,0,0,0,0,17.822843743196746
4.0,4.0,5.0,4.0,Terraced Duplexes,37,1,55000000.0,0,1,0,0,0,0,0,17.822843743196746
4.0,4.0,4.0,4.0,Semi Detached Duplex,15,0,65000000.0,0,0,1,0,0,0,0,17.98989782785991
3.0,3.0,4.0,5.0,Detached Bungalow,38,0,36000000.0,0,0,0,1,0,0,0,17.399029496420383
5.0,5.0,6.0,8.0,Detached Duplex,15,0,280000000.0,1,0,0,0,0,0,0,19.450300161133523
4.0,4.0,5.0,2.0,Detached Duplex,15,0,95000000.0,1,0,0,0,0,0,0,18.369387449564815
4.0,4.0,5.0,3.0,Semi Detached Duplex,15,5,95000000.0,0,0,1,0,0,0,0,18.369387449564815
4.0,4.0,4.0,5.0,Detached Duplex,65,0,98000000.0,1,0,0,0,0,0,0,18.400478036634848
3.0,5.0,5.0,4.0,Detached Bungalow,174,21,13000000.0,0,0,0,1,0,0,0,16.38045991542581
6.0,6.0,7.0,7.0,Detached Duplex,15,0,300000000.0,1,0,0,0,0,0,0,19.519293032620475
5.0,5.0,6.0,4.0,Detached Duplex,15,0,140000000.0,1,0,0,0,0,0,0,18.75715298057358
5.0,5.0,6.0,4.0,Detached Duplex,0,0,750000000.0,1,0,0,0,0,0,0,20.43558376449463
2.0,1.0,1.0,1.0,Block of Flats,161,21,45000000.0,0,0,0,0,1,0,0,17.622173047734595
5.0,5.0,6.0,6.0,Semi Detached Duplex,0,0,330000000.0,0,0,1,0,0,0,0,19.6146032124248
4.0,4.0,5.0,4.0,Detached Duplex,47,0,100000000.0,1,0,0,0,0,0,0,18.420680743952367
3.0,3.0,4.0,4.0,Detached Duplex,65,0,25500000.0,1,0,0,0,0,0,0,17.054189010128656
5.0,5.0,6.0,4.0,Detached Duplex,15,0,140000000.0,1,0,0,0,0,0,0,18.75715298057358
5.0,5.0,6.0,4.0,Detached Duplex,15,0,130000000.0,1,0,0,0,0,0,0,18.683045008419857
5.0,5.0,6.0,4.0,Detached Duplex,15,0,300000000.0,1,0,0,0,0,0,0,19.519293032620475
5.0,5.0,6.0,4.0,Terraced Duplexes,37,1,55000000.0,0,1,0,0,0,0,0,17.822843743196746
4.0,4.0,5.0,4.0,Semi Detached Duplex,15,0,80000000.0,0,0,1,0,0,0,0,18.197537192638155
5.0,7.0,6.0,1.0,Detached Duplex,58,8,210000000.0,1,0,0,0,0,0,0,19.162618088681743
5.0,5.0,6.0,4.0,Detached Duplex,15,0,450000000.0,1,0,0,0,0,0,0,19.92475814072864
5.0,5.0,6.0,5.0,Detached Duplex,15,0,105000000.0,1,0,0,0,0,0,0,18.469470908121796
4.0,5.0,5.0,2.0,Detached Duplex,0,0,500000000.0,1,0,0,0,0,0,0,20.030118656386467
5.0,5.0,6.0,4.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,4.0,5.0,8.0,Semi Detached Duplex,67,9,90000000.0,0,0,1,0,0,0,0,18.31532022829454
4.0,4.0,5.0,4.0,Semi Detached Duplex,15,0,75000000.0,0,0,1,0,0,0,0,18.132998671500584
4.0,5.0,5.0,4.0,Block of Flats,58,8,65000000.0,0,0,0,0,1,0,0,17.98989782785991
3.0,5.0,5.0,4.0,Detached Bungalow,69,1,25000000.0,0,0,0,1,0,0,0,17.034386382832476
4.0,4.0,5.0,4.0,Terraced Duplexes,15,0,80000000.0,0,1,0,0,0,0,0,18.197537192638155
3.0,3.0,3.0,5.0,Detached Bungalow,125,0,7500000.0,0,0,0,1,0,0,0,15.830413578506539
5.0,5.0,6.0,7.0,Detached Duplex,25,2,70000000.0,1,0,0,0,0,0,0,18.064005800013632
4.0,4.0,5.0,4.0,Semi Detached Duplex,38,0,45000000.0,0,0,1,0,0,0,0,17.622173047734595
2.0,3.0,4.0,4.0,Block of Flats,15,0,50000000.0,0,0,0,0,1,0,0,17.72753356339242
1.0,5.0,5.0,4.0,Block of Flats,25,2,45000000.0,0,0,0,0,1,0,0,17.622173047734595
5.0,5.0,6.0,4.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
6.0,6.0,7.0,8.0,Detached Duplex,0,0,750000000.0,1,0,0,0,0,0,0,20.43558376449463
5.0,5.0,6.0,2.0,Detached Duplex,18,0,80000000.0,1,0,0,0,0,0,0,18.197537192638155
4.0,5.0,5.0,4.0,Detached Duplex,15,0,90000000.0,1,0,0,0,0,0,0,18.31532022829454
3.0,3.0,4.0,4.0,Detached Bungalow,161,21,15000000.0,0,0,0,1,0,0,0,16.523560759066484
5.0,5.0,6.0,5.0,Detached Duplex,15,0,135000000.0,1,0,0,0,0,0,0,18.720785336402702
4.0,5.0,5.0,3.0,Terraced Duplexes,15,0,100000000.0,0,1,0,0,0,0,0,18.420680743952367
4.0,4.0,4.0,4.0,Semi Detached Duplex,15,0,95000000.0,0,0,1,0,0,0,0,18.369387449564815
1.0,1.0,1.0,2.0,Detached Duplex,7,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
4.0,4.0,4.0,5.0,Detached Bungalow,134,0,15000000.0,0,0,0,1,0,0,0,16.523560759066484
4.0,4.0,4.0,5.0,Semi Detached Duplex,0,0,230000000.0,0,0,1,0,0,0,0,19.25358986688747
